product_id,name,brand,cpu_family,ram_gb,storage_gb,storage_type,screen_size_inches,screen_resolution,screen_type,graphics_card,battery_life_hours,weight_kg,price,marketing_link,datasheet_link
1,MacBook Pro (14-inch),Apple,M4,16,512,SSD,14.2,3024x1964,Liquid Retina XDR,M4 (10-core GPU),Up to 24 hrs (Video Playback),1.55,"$1,599.00",https://www.apple.com/macbook-pro/,https://www.apple.com/macbook-pro/specs/
2,Razer Blade 16,Razer,Intel® Core™ i9-14900HX ,32,2048,SSD (NVMe),18,2560x1600,QHD+ 300 HZ Mini-LED,NVIDIA GeForce RTX 4090,Up to 5 Hours,3.1,"$4,499.99",https://www.razer.com/gaming-laptops/razer-blade-18-2024,https://www.razer.com/gaming-laptops/razer-blade-18-2024?page=tech-specs
3,Framework Laptop 16 DIY,Framework,AMD Ryzen 7040 Series,User Supplied,User Supplied,SSD (NVMe),16,2560x1600,"Not Specified (165Hz, 500 nit)",Integrated Radeon 780M (+ Optional),Not Specified (85Wh capacity),2.1 (base),"$1,399.00",https://frame.work/products/laptop16-diy-amd-7040,https://frame.work/products/laptop16-diy-amd-7040?tab=specs
4,Surface Studio 2+,Microsoft,11th Gen Intel Core i7-11370H,32,1024,SSD,28,4500x3000,PixelSense Display,NVIDIA GeForce RTX 3060 Laptop GPU,Up to 18 Hours,9.56 (max),"$2,799.99",https://www.microsoft.com/en-us/d/surface-studio-2-plus/8vlfqc3597k4,https://www.microsoft.com/en-us/d/surface-studio-2-plus/8vlfqc3597k4#tab1cb73cea5-b75f-43d6-8509-e07d380f98b9?activetab=pivot:fulltechspecstab
5,ThinkPad X1 Carbon Gen 12,Lenovo,Intel Core Ultra 5 125U,16,512,SSD (NVMe),14,1920x1200,"IPS (Anti-Glare, 400 nit)",Integrated Intel Graphics,Up to 16.0 hr (MobileMark 25),1.09 (starting),"$1,456.95",https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-12/len101t0083,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-12-14-inch-intel/len101t0083#tech_specs
6,ASUS Zenbook Duo (UX8406),ASUS,Intel Core Ultra 7 155H,16,1024,SSD (NVMe),Dual 14,2880x1800 (x2),OLED (ASUS Lumina),Intel Arc Graphics,Up to 13.5 / 10.5 hrs (1 / 2 screens),1.35 (w/o keyboard),"$1,599.99",https://www.asus.com/us/laptops/for-home/zenbook/asus-zenbook-duo-2024-ux8406/,https://www.asus.com/us/laptops/for-home/zenbook/asus-zenbook-duo-2024-ux8406/techspec/
7,HP Spectre x360 16 2-in-1,HP,Intel Core Ultra 7 155H,16,2048,SSD (NVMe),16,2880x1800,OLED (Multitouch),Intel Arc + NVIDIA RTX 4050,Up to 13.25 hrs,1.95,"$1,599.99",https://www.hp.com/us-en/shop/pdp/hp-spectre-x360-2-in-1-laptop-16-aa0097nr,https://www.hp.com/us-en/shop/pdp/hp-spectre-x360-2-in-1-laptop-16-aa0097nr#techSpecs
8,Alienware m16 R2,Alienware,Intel Core Ultra 7 155H,16,1024,SSD (NVMe),16,2560x1600,QHD+ (240Hz option available),NVIDIA GeForce RTX 4060,Not Specified (90Wh capacity),2.61 (max),"$1,499.99",https://www.dell.com/en-us/shop/dell-laptops/alienware-m16-r2-gaming-laptop/spd/alienware-m16-r2-laptop,(button)
9,Acer Nitro V 15 (ANV15-51),Acer,Intel Core i5 (13th Gen),8,512,SSD (NVMe),15.6,1920x1080,IPS (144Hz),NVIDIA GeForce RTX 3050 (6GB),Not Specified (57Wh capacity),2.11,$649.99,https://store.acer.com/en-us/nitro-v-15-gaming-laptop-anv15-51-532j,(button)
10,Surface Laptop 7th Edition,Microsoft,Snapdragon X Plus (10 Core),16,256,SSD (Gen 4),13.8,2304x1536,PixelSense Flow (Touch),Qualcomm Adreno GPU,Up to 20 / 13 hrs (Video / Web),1.34,$899.99,https://www.microsoft.com/en-us/surface/devices/surface-laptop-7th-edition,https://www.microsoft.com/en-us/store/configure/surface-laptop-7th-edition/8tq2hq5xxkj9